delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
240763,68546,53103,20260,20989,4687,950,1157
12785,113960,608,54154,2969,1824,2099,1513
44784,28957,10264,14489,4351,2521,1919,1237
89849,15569,8986,12867,4262,2358,720,490
16653,9504,11418,24055,8494,4105,1087,355
20270,46404,33005,24484,6244,3179,1230,1234
70011,44877,46342,6691,3437,1536,969,1171
34815,59200,17991,32941,9135,2517,1122,928
33270,36074,14530,31421,1284,3213,841,518
66978,64964,15743,9702,3800,1710,1193,784
121289,30531,50351,39178,2085,1510,1088,798
20652,22584,21783,74623,8683,5285,1925,849
104239,83907,8528,29964,4691,3965,508,698
105186,40052,1101,66876,13693,2202,1223,969
132535,17080,9380,7930,2506,598,192,252
42638,56815,7311,176597,19882,2361,722,535
59565,63237,11991,26952,4608,2069,710,1699
52648,58322,15403,6200,1566,1893,1040,578
45211,94929,15961,8017,9186,2949,1062,317
31629,17554,53330,55997,36752,4621,1493,632
27098,69991,54971,20614,6025,2759,809,491
54339,95277,6104,36573,6672,6705,869,787
135896,102382,16305,60676,130981,5152,1810,865
50579,12742,75009,65252,26011,4031,1222,541
49761,69014,20074,1779,9940,2242,493,586
104698,50145,51909,47067,1735,1134,821,1988
4261,32353,42317,11281,14684,2702,741,676
33823,21252,10412,15758,6230,3220,803,497
16448,10065,7112,11878,16272,2515,629,780
60544,157069,25269,206373,23175,7079,1626,1937
18379,33601,40918,64699,54628,3480,1416,1101
59826,151252,24312,5417,31785,3488,1035,561
55650,23285,24561,21849,20843,897,695,817
19503,27411,4322,118928,24422,1660,495,859
26361,25257,30891,25283,4748,3363,817,1081
85437,88528,23237,50704,18383,3729,1152,776
61872,23238,50545,28515,21760,5919,1899,934
78111,20557,19767,10144,4429,1449,795,578
228474,69426,115486,15362,25668,2414,688,263
122988,81487,20747,9020,2547,4830,1256,889
56634,38719,10081,6858,4019,3314,1017,613
55644,26419,6888,1298,4414,1902,649,426
79846,46016,36873,27016,13253,3658,1290,514
62161,143187,23860,1851,3091,2578,563,1019
151569,116657,84962,23582,12694,3162,1043,1448
31394,66928,14849,36692,2709,3605,909,1093
22397,40116,68438,16164,3107,3810,1247,1293
337919,102078,156636,75158,108624,9770,1235,724
45576,66772,25000,207989,8801,4055,669,596
14376,23162,41583,20792,4885,2278,544,1220
53655,20425,39079,8608,11496,6642,672,1076
84397,33595,9641,64732,19603,1825,886,826
48644,40241,28337,14156,2681,2301,1623,744
22661,56242,9481,78690,18081,5989,586,723
94577,84329,15240,300447,22738,2658,678,381
51679,106048,32111,5977,12271,3115,759,498
43086,19339,22245,9705,32194,2205,1081,504
81351,68025,38310,44310,6024,2390,729,434
55519,67696,18721,7838,9814,1958,1459,696
13780,38334,47486,58783,35545,3257,964,541
86527,29385,7021,9239,7200,2386,1042,856
122242,7742,7249,38899,10382,687,202,225
68604,25833,24671,26197,18057,3906,642,807
24947,56809,52742,59746,6593,2055,548,1170
68628,30350,90816,66719,3139,1021,759,665
34403,24562,70719,117823,23919,3817,366,602
44782,26404,48108,221673,9550,1701,1120,961
281119,44769,65191,203610,26141,6264,1173,840
80105,32921,24116,74787,38208,2813,1953,845
53540,46592,68861,39380,7724,2197,1636,721
71113,20671,19118,22483,12011,1601,1251,648
105071,23146,13684,111548,24407,2232,1523,1095
46513,61345,54595,34200,4241,4300,1713,719
163841,165038,13422,179865,10900,7886,507,984
78809,71301,3397,74393,19347,3463,1453,875
53508,29939,30543,16630,2631,4013,894,691
117985,33987,12448,20068,5815,2106,1211,325
66984,37675,38354,27954,6033,2833,1401,668
115599,72273,31987,25509,11065,7735,957,1042
166895,39152,264612,112941,54122,4280,725,571
49266,170458,11388,112371,12144,7657,1481,1361
69620,88259,7652,12080,7552,3338,472,614
107900,115237,63478,20034,19067,9918,635,292
66572,114125,26165,65449,22561,3910,1632,849
41144,86763,27556,89062,13688,2741,955,428
73252,106366,14308,22473,7060,2931,600,513
38173,152070,25672,32371,39738,2248,779,447
65565,24327,10355,8960,11217,2311,1038,1165
133650,55436,11216,4992,3723,1382,1699,309
56712,21810,10335,3279,2434,2677,2138,457
69197,90865,22664,43008,20258,9054,484,320
102253,39254,50430,77481,22005,5525,874,786
59981,56947,88461,33340,10432,1158,1002,663
8720,25987,46515,16590,13877,2439,920,803
41604,87434,28913,7640,6321,2188,1447,715
50465,104509,14800,55959,32951,4379,770,1029
126151,35817,15073,34457,5120,1945,1134,1310
57541,17476,10807,6239,4478,4280,3999,524
58992,78335,8727,5749,38723,4705,431,655
71776,48410,20104,32208,6026,3249,1167,359
20536,22249,56432,19241,3781,2938,1857,819
505032,18058,29861,72707,13384,1409,756,897
34835,109999,37999,54435,9685,3577,1250,529
142391,95717,10448,17636,9954,1503,1035,1198
72943,45915,22198,24166,4997,1613,1776,823
20125,73670,6048,8163,4031,2588,935,411
42663,39957,14390,17831,7579,1352,656,994
37429,36974,14272,27524,22217,2699,982,693
16043,29946,12818,103051,8698,1140,2088,1088
73150,46966,50594,12244,1926,3800,1017,816
41088,58520,10643,16577,5094,2684,405,799
60369,95166,36380,77375,6568,3867,1035,969
32235,65578,35477,15469,6900,4700,1149,577
109198,58269,28490,12172,20552,2214,1190,907
95783,19552,114768,9931,10879,2772,273,311
150469,57580,54872,103639,53478,3788,1230,636
39093,33639,88418,193181,13982,2974,826,928
32528,43832,48230,39518,14000,4781,1140,1496
86522,34987,36262,17401,6897,1746,1092,645
69777,54327,18537,12365,31468,3472,1725,949
190431,87051,6170,7689,6536,2488,752,579
52237,54061,24888,30419,25382,8185,572,1021
145085,15998,6798,52653,12464,1365,531,143
28436,175668,50510,15354,8925,1972,1165,889
22485,35832,33149,38826,6979,2061,743,682
126628,24942,21789,15571,2199,1411,998,795
62031,83482,50418,96161,226145,2936,909,1168
