delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention
46296,76598,21507,21607,10553,13992,6441,2311,69
314621,25549,3717,7244,4312,1182,1091,704,54
10949,15476,5260,17933,4347,6263,2760,1232,56
40709,8426,88536,18295,6624,5287,2305,1914,48
84465,40444,58770,7932,16898,14315,4126,2656,48
103106,41200,45862,13273,16933,23504,2655,2819,64
482967,102358,9369,21515,9686,11878,5792,4408,57
80505,22748,11620,21503,13593,8696,3222,1922,69
68126,22245,30564,10936,19039,5357,2369,2224,64
24814,25507,2963,4725,8318,10288,2395,1830,67
115622,38370,35372,21691,7182,7114,3253,3507,66
39926,44420,2045,7728,5773,1684,676,583,53
13230,27166,7850,4824,5238,3632,2198,1446,54
23033,20292,10085,10623,7674,7193,6019,1656,51
78314,35938,15655,14312,7711,8702,5780,3484,54
28556,22143,4436,8532,12253,10570,3835,3780,74
162934,34776,36408,6457,1608,2220,779,1442,63
216382,44507,3079,20097,26103,11801,4875,2501,63
40720,19026,12126,3210,13486,8108,1248,1057,67
31222,28094,13676,12851,6622,5778,2822,6229,60
90169,15661,8539,13499,5890,6125,2617,3822,74
127723,11957,1761,5083,2229,5657,2624,1264,78
6512,5708,3210,4469,9681,19378,3482,1660,90
170391,151914,12063,6874,22810,6636,1263,4046,80
