delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
344516,207430,15859,21111,31327,25104,12087,5819
153393,24758,20182,3474,4758,4672,866,1418
36049,72271,25660,28944,18552,10344,21667,3643
547152,90144,27556,57899,21681,16961,5812,2848
70928,144418,14530,22654,4763,7048,8957,3650
138389,95226,7921,4711,9286,6694,2450,4175
1747863,23163,13735,12732,10015,4757,1600,2629
1088213,489050,260323,65867,119888,30243,89474,59817
1150789,55402,5865,16428,27853,3115,16676,19098
127816,181083,4979,17942,22447,12872,12511,11149
831950,52280,28422,13763,8587,12634,8597,11109
56060,80609,7746,9105,6480,3965,8349,3990
173704,50792,23192,18418,26138,9989,13025,9633
1025128,179135,12438,23070,23684,31501,7283,6103
260260,26379,303,3974,3380,1947,1958,538
106022,38056,11917,18673,4944,9172,4430,2243
104113,9262,2653,3432,7026,4172,1819,1335
68147,8030,12323,6758,1537,1956,1774,2028
85254,25021,58591,7424,20045,10248,5627,2732
32702,33988,24472,16467,9116,20296,3452,3183
149979,110453,36392,16911,12058,16930,3251,7399
54664,22428,10636,5879,5788,6521,6868,4086
18365,57860,7938,40034,12817,6041,4207,6904
43500,21297,5849,4399,10816,12443,4298,2090
22632,47251,13621,13166,4986,4860,1087,3161
